[2023-01-20 11:01:44,496] INFO:__main__:number of available cores: 4
[2023-01-20 11:01:44,693] INFO:__main__:==> Epoch 0, Train 	Loss: 0.4255748689174652 	Pearson: 0.10361669212579727	MSE: 0.32719945907592773, 	F1: (0, 0, 0)
[2023-01-20 11:01:44,915] INFO:__main__:==> Epoch 0, Dev 	Loss: 0.2781238257884979 	Pearson: 0.5756545066833496	MSE: 0.1828107237815857, 	F1: (0, 0, 0)
[2023-01-20 11:01:44,916] INFO:__main__:==> Epoch 0, Test 	Loss: 0.3803824484348297 	Pearson: 0.19001586735248566	MSE: 0.28294774889945984, 	F1: (0, 0, 0)
[2023-01-20 11:01:45,058] INFO:__main__:==> Epoch 1, Train 	Loss: 0.4255748689174652 	Pearson: 0.10361669212579727	MSE: 0.32719945907592773, 	F1: (0, 0, 0)
[2023-01-20 11:01:45,247] INFO:__main__:==> Epoch 1, Dev 	Loss: 0.2781238257884979 	Pearson: 0.5756545066833496	MSE: 0.1828107237815857, 	F1: (0, 0, 0)
[2023-01-20 11:01:45,248] INFO:__main__:==> Epoch 1, Test 	Loss: 0.3803824484348297 	Pearson: 0.19001586735248566	MSE: 0.28294774889945984, 	F1: (0, 0, 0)
[2023-01-20 11:01:45,384] INFO:__main__:==> Epoch 2, Train 	Loss: 0.4255748689174652 	Pearson: 0.10361669212579727	MSE: 0.32719945907592773, 	F1: (0, 0, 0)
[2023-01-20 11:01:45,571] INFO:__main__:==> Epoch 2, Dev 	Loss: 0.2781238257884979 	Pearson: 0.5756545066833496	MSE: 0.1828107237815857, 	F1: (0, 0, 0)
[2023-01-20 11:01:45,571] INFO:__main__:==> Epoch 2, Test 	Loss: 0.3803824484348297 	Pearson: 0.19001586735248566	MSE: 0.28294774889945984, 	F1: (0, 0, 0)
[2023-01-20 11:01:45,703] INFO:__main__:==> Epoch 3, Train 	Loss: 0.4255748689174652 	Pearson: 0.10361669212579727	MSE: 0.32719945907592773, 	F1: (0, 0, 0)
[2023-01-20 11:01:45,890] INFO:__main__:==> Epoch 3, Dev 	Loss: 0.2781238257884979 	Pearson: 0.5756545066833496	MSE: 0.1828107237815857, 	F1: (0, 0, 0)
[2023-01-20 11:01:45,890] INFO:__main__:==> Epoch 3, Test 	Loss: 0.3803824484348297 	Pearson: 0.19001586735248566	MSE: 0.28294774889945984, 	F1: (0, 0, 0)
[2023-01-20 11:01:46,072] INFO:__main__:==> Epoch 4, Train 	Loss: 0.4255748689174652 	Pearson: 0.10361669212579727	MSE: 0.32719945907592773, 	F1: (0, 0, 0)
[2023-01-20 11:01:46,293] INFO:__main__:==> Epoch 4, Dev 	Loss: 0.2781238257884979 	Pearson: 0.5756545066833496	MSE: 0.1828107237815857, 	F1: (0, 0, 0)
[2023-01-20 11:01:46,293] INFO:__main__:==> Epoch 4, Test 	Loss: 0.3803824484348297 	Pearson: 0.19001586735248566	MSE: 0.28294774889945984, 	F1: (0, 0, 0)
[2023-01-20 11:01:46,424] INFO:__main__:==> Epoch 5, Train 	Loss: 0.4255748689174652 	Pearson: 0.10361669212579727	MSE: 0.32719945907592773, 	F1: (0, 0, 0)
[2023-01-20 11:01:46,651] INFO:__main__:==> Epoch 5, Dev 	Loss: 0.2781238257884979 	Pearson: 0.5756545066833496	MSE: 0.1828107237815857, 	F1: (0, 0, 0)
[2023-01-20 11:01:46,652] INFO:__main__:==> Epoch 5, Test 	Loss: 0.3803824484348297 	Pearson: 0.19001586735248566	MSE: 0.28294774889945984, 	F1: (0, 0, 0)
[2023-01-20 11:01:46,777] INFO:__main__:==> Epoch 6, Train 	Loss: 0.4255748689174652 	Pearson: 0.10361669212579727	MSE: 0.32719945907592773, 	F1: (0, 0, 0)
[2023-01-20 11:01:47,004] INFO:__main__:==> Epoch 6, Dev 	Loss: 0.2781238257884979 	Pearson: 0.5756545066833496	MSE: 0.1828107237815857, 	F1: (0, 0, 0)
[2023-01-20 11:01:47,005] INFO:__main__:==> Epoch 6, Test 	Loss: 0.3803824484348297 	Pearson: 0.19001586735248566	MSE: 0.28294774889945984, 	F1: (0, 0, 0)
[2023-01-20 11:01:47,182] INFO:__main__:==> Epoch 7, Train 	Loss: 0.4255748689174652 	Pearson: 0.10361669212579727	MSE: 0.32719945907592773, 	F1: (0, 0, 0)
[2023-01-20 11:01:47,492] INFO:__main__:==> Epoch 7, Dev 	Loss: 0.2781238257884979 	Pearson: 0.5756545066833496	MSE: 0.1828107237815857, 	F1: (0, 0, 0)
